Unnamed: 0	Geneid	KO	Pathway_ko	Definition
556	Cre01.g043750	K16749	9182	Protein families: genetic information processing
581	Cre01.g045601	K13912	9154	Digestive system
586	Cre01.g046652	K01866	9122	Translation
587	Cre01.g046652	K01866	9181	Protein families: metabolism
588	Cre01.g046652	K01866	9182	Protein families: genetic information processing
589	Cre01.g046652	K01866	3029	Mitochondrial biogenesis
602	Cre01.g047900	K11583	9122	Translation
603	Cre01.g047900	K11583	9132	Signal transduction
604	Cre01.g047900	K11583	4151	PI3K-Akt signaling pathway
605	Cre01.g047900	K11583	4152	AMPK signaling pathway
606	Cre01.g047900	K11583	9153	Circulatory system
607	Cre01.g047900	K11583	9156	Nervous system
608	Cre01.g047900	K11583	9172	Infectious diseases: Viral
609	Cre01.g047900	K11583	9181	Protein families: metabolism
610	Cre01.g047900	K11583	9182	Protein families: genetic information processing
611	Cre01.g047950	K07934	9182	Protein families: genetic information processing
612	Cre01.g047950	K07934	9183	Protein families: signaling and cellular processes
616	Cre01.g048950	K13421	9104	Nucleotide metabolism
617	Cre01.g048950	K13421	9111	Xenobiotics biodegradation and metabolism
618	Cre01.g049132	K01922	9108	Metabolism of cofactors and vitamins
628	Cre01.g050050	K18477	9182	Protein families: genetic information processing
630	Cre01.g050451	K16582	9182	Protein families: genetic information processing
631	Cre01.g050451	K16582	9183	Protein families: signaling and cellular processes
632	Cre01.g050950	K10960	9108	Metabolism of cofactors and vitamins
633	Cre01.g050950	K10960	9109	Metabolism of terpenoids and polyketides
640	Cre01.g051250	K02183	9132	Signal transduction
641	Cre01.g051250	K02183	4015	Rap1 signaling pathway
642	Cre01.g051250	K02183	4016	MAPK signaling pathway - plant
643	Cre01.g051250	K02183	4371	Apelin signaling pathway
644	Cre01.g051250	K02183	4020	Calcium signaling pathway
645	Cre01.g051250	K02183	4070	Phosphatidylinositol signaling system
646	Cre01.g051250	K02183	4024	cAMP signaling pathway
647	Cre01.g051250	K02183	4022	cGMP-PKG signaling pathway
648	Cre01.g051250	K02183	9143	Cell growth and death
649	Cre01.g051250	K02183	4218	Cellular senescence
650	Cre01.g051250	K02183	9151	Immune system
651	Cre01.g051250	K02183	9152	Endocrine system
652	Cre01.g051250	K02183	4922	Glucagon signaling pathway
653	Cre01.g051250	K02183	4912	GnRH signaling pathway
654	Cre01.g051250	K02183	4915	Estrogen signaling pathway
655	Cre01.g051250	K02183	4921	Oxytocin signaling pathway
656	Cre01.g051250	K02183	4916	Melanogenesis
657	Cre01.g051250	K02183	4924	Renin secretion
658	Cre01.g051250	K02183	4925	Aldosterone synthesis and secretion
659	Cre01.g051250	K02183	9153	Circulatory system
660	Cre01.g051250	K02183	4270	Vascular smooth muscle contraction
661	Cre01.g051250	K02183	9154	Digestive system
662	Cre01.g051250	K02183	4971	Gastric acid secretion
663	Cre01.g051250	K02183	9156	Nervous system
664	Cre01.g051250	K02183	4720	Long-term potentiation
665	Cre01.g051250	K02183	4722	Neurotrophin signaling pathway
666	Cre01.g051250	K02183	9157	Sensory system
667	Cre01.g051250	K02183	4745	Phototransduction - fly
668	Cre01.g051250	K02183	4740	Olfactory transduction
669	Cre01.g051250	K02183	4750	Inflammatory mediator regulation of TRP channels
670	Cre01.g051250	K02183	9159	Environmental adaptation
671	Cre01.g051250	K02183	4626	Plant-pathogen interaction
672	Cre01.g051250	K02183	9161	Cancers: Overview
673	Cre01.g051250	K02183	9162	Cancers: Specific types
674	Cre01.g051250	K02183	9164	Neurodegenerative diseases
675	Cre01.g051250	K02183	9165	Substance dependence
676	Cre01.g051250	K02183	5034	Alcoholism
677	Cre01.g051250	K02183	9166	Cardiovascular diseases
678	Cre01.g051250	K02183	9171	Infectious diseases: Bacterial
679	Cre01.g051250	K02183	5152	Tuberculosis
680	Cre01.g051250	K02183	9172	Infectious diseases: Viral
681	Cre01.g051250	K02183	5163	Human cytomegalovirus infection
682	Cre01.g051250	K02183	5167	Kaposi sarcoma-associated herpesvirus infection
683	Cre01.g051250	K02183	9181	Protein families: metabolism
684	Cre01.g051250	K02183	9182	Protein families: genetic information processing
685	Cre01.g051250	K02183	3036	Chromosome and associated proteins
686	Cre01.g051250	K02183	9183	Protein families: signaling and cellular processes
700	Cre01.g052250	K03671	9151	Immune system
701	Cre01.g052250	K03671	9166	Cardiovascular diseases
702	Cre01.g052250	K03671	9182	Protein families: genetic information processing
730	Cre01.g052650	K13024	9132	Signal transduction
756	Cre01.g054500	K00323	9108	Metabolism of cofactors and vitamins
757	Cre01.g055050	K08597	9181	Protein families: metabolism
758	Cre01.g055050	K08597	9182	Protein families: genetic information processing
815	Cre01.g066552	K03671	9151	Immune system
816	Cre01.g066552	K03671	9166	Cardiovascular diseases
817	Cre01.g066552	K03671	9182	Protein families: genetic information processing
843	Cre02.g073750	K10397	9183	Protein families: signaling and cellular processes
846	Cre02.g074370	K13412	9159	Environmental adaptation
847	Cre02.g074370	K13412	9174	Infectious diseases: Parasitic
848	Cre02.g074370	K13412	9181	Protein families: metabolism
849	Cre02.g074850	K08850	9181	Protein families: metabolism
850	Cre02.g074850	K08850	9182	Protein families: genetic information processing
869	Cre02.g076300	K01599	9108	Metabolism of cofactors and vitamins
905	Cre02.g078300	K00432	9103	Lipid metabolism
906	Cre02.g078300	K00432	9106	Metabolism of other amino acids
907	Cre02.g078300	K00432	9152	Endocrine system
911	Cre02.g078858	K04505	9132	Signal transduction
912	Cre02.g078858	K04505	4330	Notch signaling pathway
913	Cre02.g078858	K04505	9156	Nervous system
914	Cre02.g078858	K04505	9164	Neurodegenerative diseases
915	Cre02.g078858	K04505	9172	Infectious diseases: Viral
916	Cre02.g078858	K04505	9181	Protein families: metabolism
920	Cre02.g079050	K14457	9103	Lipid metabolism
921	Cre02.g079050	K14457	9154	Digestive system
935	Cre02.g079700	K00609	9104	Nucleotide metabolism
936	Cre02.g079700	K00609	9105	Amino acid metabolism
994	Cre02.g081550	K18532	9104	Nucleotide metabolism
995	Cre02.g081550	K18532	9122	Translation
996	Cre02.g081550	K18532	9182	Protein families: genetic information processing
1020	Cre02.g083600	K06942	9182	Protein families: genetic information processing
1027	Cre02.g084450	K00472	9105	Amino acid metabolism
1035	Cre02.g085450	K00228	9108	Metabolism of cofactors and vitamins
1086	Cre02.g089608	K11136	9182	Protein families: genetic information processing
1088	Cre02.g089950	K16473	9182	Protein families: genetic information processing
1117	Cre02.g092600	K00228	9108	Metabolism of cofactors and vitamins
1119	Cre02.g092850	K10411	9164	Neurodegenerative diseases
1120	Cre02.g092850	K10411	9183	Protein families: signaling and cellular processes
1137	Cre02.g093975	K12837	9121	Transcription
1138	Cre02.g093975	K12837	9182	Protein families: genetic information processing
1147	Cre02.g095069	K03564	9191	Unclassified: metabolism
1150	Cre02.g095071	K01148	9123	"Folding	 sorting and degradation"
1151	Cre02.g095071	K01148	9182	Protein families: genetic information processing
1166	Cre02.g095110	K17553	9181	Protein families: metabolism
1171	Cre02.g095300	K08824	9181	Protein families: metabolism
1188	Cre02.g097000	K01464	9104	Nucleotide metabolism
1189	Cre02.g097000	K01464	9106	Metabolism of other amino acids
1190	Cre02.g097000	K01464	9108	Metabolism of cofactors and vitamins
1191	Cre02.g097000	K01464	9111	Xenobiotics biodegradation and metabolism
1192	Cre02.g097000	K01464	9183	Protein families: signaling and cellular processes
1274	Cre02.g102500	K10870	9124	Replication and repair
1275	Cre02.g102500	K10870	3460	Fanconi anemia pathway
1276	Cre02.g102500	K10870	9182	Protein families: genetic information processing
1295	Cre02.g105400	K06639	9143	Cell growth and death
1296	Cre02.g105400	K06639	4111	Cell cycle - yeast
1297	Cre02.g105400	K06639	4113	Meiosis - yeast
1298	Cre02.g105400	K06639	9181	Protein families: metabolism
1339	Cre02.g107050	K10408	9164	Neurodegenerative diseases
1340	Cre02.g107050	K10408	9183	Protein families: signaling and cellular processes
1343	Cre02.g107350	K10408	9164	Neurodegenerative diseases
1344	Cre02.g107350	K10408	9183	Protein families: signaling and cellular processes
1352	Cre02.g107800	K08857	9181	Protein families: metabolism
1353	Cre02.g107800	K08857	9182	Protein families: genetic information processing
1354	Cre02.g107800	K08857	3400	DNA repair and recombination proteins
1372	Cre02.g109600	K01092	9101	Carbohydrate metabolism
1373	Cre02.g109600	K01092	9110	Biosynthesis of other secondary metabolites
1374	Cre02.g109600	K01092	9132	Signal transduction
1376	Cre02.g110100	K02183	9132	Signal transduction
1377	Cre02.g110100	K02183	4015	Rap1 signaling pathway
1378	Cre02.g110100	K02183	4016	MAPK signaling pathway - plant
1379	Cre02.g110100	K02183	4371	Apelin signaling pathway
1380	Cre02.g110100	K02183	4020	Calcium signaling pathway
1381	Cre02.g110100	K02183	4070	Phosphatidylinositol signaling system
1382	Cre02.g110100	K02183	4024	cAMP signaling pathway
1383	Cre02.g110100	K02183	4022	cGMP-PKG signaling pathway
1384	Cre02.g110100	K02183	9143	Cell growth and death
1385	Cre02.g110100	K02183	4218	Cellular senescence
1386	Cre02.g110100	K02183	9151	Immune system
1387	Cre02.g110100	K02183	9152	Endocrine system
1388	Cre02.g110100	K02183	4922	Glucagon signaling pathway
1389	Cre02.g110100	K02183	4912	GnRH signaling pathway
1390	Cre02.g110100	K02183	4915	Estrogen signaling pathway
1391	Cre02.g110100	K02183	4921	Oxytocin signaling pathway
1392	Cre02.g110100	K02183	4916	Melanogenesis
1393	Cre02.g110100	K02183	4924	Renin secretion
1394	Cre02.g110100	K02183	4925	Aldosterone synthesis and secretion
1395	Cre02.g110100	K02183	9153	Circulatory system
1396	Cre02.g110100	K02183	4270	Vascular smooth muscle contraction
1397	Cre02.g110100	K02183	9154	Digestive system
1398	Cre02.g110100	K02183	4971	Gastric acid secretion
1399	Cre02.g110100	K02183	9156	Nervous system
1400	Cre02.g110100	K02183	4720	Long-term potentiation
1401	Cre02.g110100	K02183	4722	Neurotrophin signaling pathway
1402	Cre02.g110100	K02183	9157	Sensory system
1403	Cre02.g110100	K02183	4745	Phototransduction - fly
1404	Cre02.g110100	K02183	4740	Olfactory transduction
1405	Cre02.g110100	K02183	4750	Inflammatory mediator regulation of TRP channels
1406	Cre02.g110100	K02183	9159	Environmental adaptation
1407	Cre02.g110100	K02183	4626	Plant-pathogen interaction
1408	Cre02.g110100	K02183	9161	Cancers: Overview
1409	Cre02.g110100	K02183	9162	Cancers: Specific types
1410	Cre02.g110100	K02183	9164	Neurodegenerative diseases
1411	Cre02.g110100	K02183	9165	Substance dependence
1412	Cre02.g110100	K02183	5034	Alcoholism
1413	Cre02.g110100	K02183	9166	Cardiovascular diseases
1414	Cre02.g110100	K02183	9171	Infectious diseases: Bacterial
1415	Cre02.g110100	K02183	5152	Tuberculosis
1416	Cre02.g110100	K02183	9172	Infectious diseases: Viral
1417	Cre02.g110100	K02183	5163	Human cytomegalovirus infection
1418	Cre02.g110100	K02183	5167	Kaposi sarcoma-associated herpesvirus infection
1419	Cre02.g110100	K02183	9181	Protein families: metabolism
1420	Cre02.g110100	K02183	9182	Protein families: genetic information processing
1421	Cre02.g110100	K02183	3036	Chromosome and associated proteins
1422	Cre02.g110100	K02183	9183	Protein families: signaling and cellular processes
1425	Cre02.g110800	K02575	9102	Energy metabolism
1426	Cre02.g110800	K02575	9183	Protein families: signaling and cellular processes
1427	Cre02.g110850	K04427	9132	Signal transduction
1428	Cre02.g110850	K04427	4013	MAPK signaling pathway - fly
1429	Cre02.g110850	K04427	4310	Wnt signaling pathway
1430	Cre02.g110850	K04427	4064	NF-kappa B signaling pathway
1431	Cre02.g110850	K04427	4668	TNF signaling pathway
1432	Cre02.g110850	K04427	4152	AMPK signaling pathway
1433	Cre02.g110850	K04427	9141	Transport and catabolism
1434	Cre02.g110850	K04427	9143	Cell growth and death
1435	Cre02.g110850	K04427	9144	Cellular community - eukaryotes
1436	Cre02.g110850	K04427	9151	Immune system
1437	Cre02.g110850	K04427	4624	Toll and Imd signaling pathway
1438	Cre02.g110850	K04427	4621	NOD-like receptor signaling pathway
1439	Cre02.g110850	K04427	4622	RIG-I-like receptor signaling pathway
1440	Cre02.g110850	K04427	4660	T cell receptor signaling pathway
1441	Cre02.g110850	K04427	4657	IL-17 signaling pathway
1442	Cre02.g110850	K04427	9158	Development
1443	Cre02.g110850	K04427	9166	Cardiovascular diseases
1444	Cre02.g110850	K04427	9172	Infectious diseases: Viral
1445	Cre02.g110850	K04427	5162	Measles
1446	Cre02.g110850	K04427	5168	Herpes simplex infection
1447	Cre02.g110850	K04427	5169	Epstein-Barr virus infection
1448	Cre02.g110850	K04427	9174	Infectious diseases: Parasitic
1449	Cre02.g110850	K04427	5140	Leishmaniasis
1450	Cre02.g110850	K04427	9181	Protein families: metabolism
1451	Cre02.g111014	K08824	9181	Protein families: metabolism
1453	Cre02.g112000	K14997	9183	Protein families: signaling and cellular processes
1454	Cre02.g112250	K08582	9181	Protein families: metabolism
1455	Cre02.g112300	K08582	9181	Protein families: metabolism
1459	Cre02.g112500	K08850	9181	Protein families: metabolism
1460	Cre02.g112500	K08850	9182	Protein families: genetic information processing
1461	Cre02.g112850	K06126	9108	Metabolism of cofactors and vitamins
1474	Cre02.g113850	K01749	9108	Metabolism of cofactors and vitamins
1482	Cre02.g114750	K13412	9159	Environmental adaptation
1483	Cre02.g114750	K13412	9174	Infectious diseases: Parasitic
1484	Cre02.g114750	K13412	9181	Protein families: metabolism
1489	Cre02.g115650	K01623	9101	Carbohydrate metabolism
1490	Cre02.g115650	K01623	30	Pentose phosphate pathway
1491	Cre02.g115650	K01623	51	Fructose and mannose metabolism
1492	Cre02.g115650	K01623	9102	Energy metabolism
1493	Cre02.g115650	K01623	680	Methane metabolism
1494	Cre02.g115650	K01623	9182	Protein families: genetic information processing
1495	Cre02.g115650	K01623	3036	Chromosome and associated proteins
1496	Cre02.g115650	K01623	9183	Protein families: signaling and cellular processes
1499	Cre02.g116450	K01783	9101	Carbohydrate metabolism
1500	Cre02.g116450	K01783	40	Pentose and glucuronate interconversions
1501	Cre02.g116450	K01783	9102	Energy metabolism
1561	Cre02.g141400	K01610	9101	Carbohydrate metabolism
1562	Cre02.g141400	K01610	20	Citrate cycle (TCA cycle)\n
1563	Cre02.g141400	K01610	620	Pyruvate metabolism
1564	Cre02.g141400	K01610	9102	Energy metabolism
1568	Cre02.g141606	K10408	9164	Neurodegenerative diseases
1569	Cre02.g141606	K10408	9183	Protein families: signaling and cellular processes
1570	Cre02.g141626	K11438	9182	Protein families: genetic information processing
1586	Cre02.g142266	K15747	9109	Metabolism of terpenoids and polyketides
1587	Cre02.g142266	K15747	9181	Protein families: metabolism
1593	Cre02.g142602	K17582	9181	Protein families: metabolism
1618	Cre02.g144350	K19372	9182	Protein families: genetic information processing
1624	Cre02.g144750	K14640	9183	Protein families: signaling and cellular processes
1627	Cre02.g145050	K00919	9109	Metabolism of terpenoids and polyketides
1690	Cre02.g147900	K00873	9101	Carbohydrate metabolism
1691	Cre02.g147900	K00873	620	Pyruvate metabolism
1692	Cre02.g147900	K00873	9104	Nucleotide metabolism
1693	Cre02.g147900	K00873	9152	Endocrine system
1694	Cre02.g147900	K00873	9161	Cancers: Overview
1695	Cre02.g147900	K00873	5203	Viral carcinogenesis
1696	Cre02.g147900	K00873	9167	Endocrine and metabolic diseases
1697	Cre02.g147900	K00873	9172	Infectious diseases: Viral
1698	Cre02.g147900	K00873	9182	Protein families: genetic information processing
1699	Cre02.g147900	K00873	9183	Protein families: signaling and cellular processes
1708	Cre03.g144484	K13412	9159	Environmental adaptation
1709	Cre03.g144484	K13412	9174	Infectious diseases: Parasitic
1710	Cre03.g144484	K13412	9181	Protein families: metabolism
1714	Cre03.g144807	K01638	9101	Carbohydrate metabolism
1715	Cre03.g144807	K01638	630	Glyoxylate and dicarboxylate metabolism
1731	Cre03.g145127	K10408	9164	Neurodegenerative diseases
1732	Cre03.g145127	K10408	9183	Protein families: signaling and cellular processes
1736	Cre03.g145447	K16608	9183	Protein families: signaling and cellular processes
1781	Cre03.g149100	K01647	9101	Carbohydrate metabolism
1782	Cre03.g149100	K01647	630	Glyoxylate and dicarboxylate metabolism
1875	Cre03.g156900	K08912	9102	Energy metabolism
1876	Cre03.g156900	K08912	9181	Protein families: metabolism
1879	Cre03.g158000	K01845	9108	Metabolism of cofactors and vitamins
1880	Cre03.g158000	K01845	9181	Protein families: metabolism
1916	Cre03.g161000	K01488	9104	Nucleotide metabolism
1917	Cre03.g161000	K01488	9163	Immune diseases
1921	Cre03.g161800	K14572	9122	Translation
1922	Cre03.g161800	K14572	9182	Protein families: genetic information processing
1942	Cre03.g163050	K09955	9194	Poorly characterized
1955	Cre03.g164600	K01535	9102	Energy metabolism
1989	Cre03.g167550	K16533	9182	Protein families: genetic information processing
2035	Cre03.g171950	K01595	9101	Carbohydrate metabolism
2036	Cre03.g171950	K01595	9102	Energy metabolism
2037	Cre03.g171950	K01595	720	Carbon fixation pathways in prokaryotes
2038	Cre03.g171950	K01595	680	Methane metabolism
2057	Cre03.g172650	K10391	9182	Protein families: genetic information processing
2058	Cre03.g172650	K10391	9183	Protein families: signaling and cellular processes
2063	Cre03.g172950	K11131	9122	Translation
2064	Cre03.g172950	K11131	9182	Protein families: genetic information processing
2065	Cre03.g172950	K11131	3032	DNA replication proteins
2072	Cre03.g173800	K00868	9108	Metabolism of cofactors and vitamins
2077	Cre03.g174750	K03768	9182	Protein families: genetic information processing
2170	Cre03.g178350	K02183	9132	Signal transduction
2171	Cre03.g178350	K02183	4015	Rap1 signaling pathway
2172	Cre03.g178350	K02183	4016	MAPK signaling pathway - plant
2173	Cre03.g178350	K02183	4371	Apelin signaling pathway
2174	Cre03.g178350	K02183	4020	Calcium signaling pathway
2175	Cre03.g178350	K02183	4070	Phosphatidylinositol signaling system
2176	Cre03.g178350	K02183	4024	cAMP signaling pathway
2177	Cre03.g178350	K02183	4022	cGMP-PKG signaling pathway
2178	Cre03.g178350	K02183	9143	Cell growth and death
2179	Cre03.g178350	K02183	4218	Cellular senescence
2180	Cre03.g178350	K02183	9151	Immune system
2181	Cre03.g178350	K02183	9152	Endocrine system
2182	Cre03.g178350	K02183	4922	Glucagon signaling pathway
2183	Cre03.g178350	K02183	4912	GnRH signaling pathway
2184	Cre03.g178350	K02183	4915	Estrogen signaling pathway
2185	Cre03.g178350	K02183	4921	Oxytocin signaling pathway
2186	Cre03.g178350	K02183	4916	Melanogenesis
2187	Cre03.g178350	K02183	4924	Renin secretion
2188	Cre03.g178350	K02183	4925	Aldosterone synthesis and secretion
2189	Cre03.g178350	K02183	9153	Circulatory system
2190	Cre03.g178350	K02183	4270	Vascular smooth muscle contraction
2191	Cre03.g178350	K02183	9154	Digestive system
2192	Cre03.g178350	K02183	4971	Gastric acid secretion
2193	Cre03.g178350	K02183	9156	Nervous system
2194	Cre03.g178350	K02183	4720	Long-term potentiation
2195	Cre03.g178350	K02183	4722	Neurotrophin signaling pathway
2196	Cre03.g178350	K02183	9157	Sensory system
2197	Cre03.g178350	K02183	4745	Phototransduction - fly
2198	Cre03.g178350	K02183	4740	Olfactory transduction
2199	Cre03.g178350	K02183	4750	Inflammatory mediator regulation of TRP channels
2200	Cre03.g178350	K02183	9159	Environmental adaptation
2201	Cre03.g178350	K02183	4626	Plant-pathogen interaction
2202	Cre03.g178350	K02183	9161	Cancers: Overview
2203	Cre03.g178350	K02183	9162	Cancers: Specific types
2204	Cre03.g178350	K02183	9164	Neurodegenerative diseases
2205	Cre03.g178350	K02183	9165	Substance dependence
2206	Cre03.g178350	K02183	5034	Alcoholism
2207	Cre03.g178350	K02183	9166	Cardiovascular diseases
2208	Cre03.g178350	K02183	9171	Infectious diseases: Bacterial
2209	Cre03.g178350	K02183	5152	Tuberculosis
2210	Cre03.g178350	K02183	9172	Infectious diseases: Viral
2211	Cre03.g178350	K02183	5163	Human cytomegalovirus infection
2212	Cre03.g178350	K02183	5167	Kaposi sarcoma-associated herpesvirus infection
2213	Cre03.g178350	K02183	9181	Protein families: metabolism
2214	Cre03.g178350	K02183	9182	Protein families: genetic information processing
2215	Cre03.g178350	K02183	3036	Chromosome and associated proteins
2216	Cre03.g178350	K02183	9183	Protein families: signaling and cellular processes
2253	Cre03.g180450	K01081	9104	Nucleotide metabolism
2254	Cre03.g180450	K01081	240	Pyrimidine metabolism
2255	Cre03.g180450	K01081	9108	Metabolism of cofactors and vitamins
2259	Cre03.g180600	K01081	9104	Nucleotide metabolism
2260	Cre03.g180600	K01081	240	Pyrimidine metabolism
2261	Cre03.g180600	K01081	9108	Metabolism of cofactors and vitamins
2271	Cre03.g181150	K10418	9155	Excretory system
2272	Cre03.g181150	K10418	9183	Protein families: signaling and cellular processes
2312	Cre03.g183700	K00706	9101	Carbohydrate metabolism
2313	Cre03.g183700	K00706	9132	Signal transduction
2314	Cre03.g183700	K00706	9181	Protein families: metabolism
2318	Cre03.g184400	K03574	9182	Protein families: genetic information processing
2321	Cre03.g184651	K10871	9124	Replication and repair
2322	Cre03.g184651	K10871	9182	Protein families: genetic information processing
2327	Cre03.g185000	K11000	9181	Protein families: metabolism
2352	Cre03.g187200	K10418	9155	Excretory system
2353	Cre03.g187200	K10418	9183	Protein families: signaling and cellular processes
2373	Cre03.g189050	K15538	9191	Unclassified: metabolism
2427	Cre03.g190950	K07374	9141	Transport and catabolism
2428	Cre03.g190950	K07374	9143	Cell growth and death
2429	Cre03.g190950	K07374	9144	Cellular community - eukaryotes
2430	Cre03.g190950	K07374	4540	Gap junction
2431	Cre03.g190950	K07374	9171	Infectious diseases: Bacterial
2432	Cre03.g190950	K07374	9182	Protein families: genetic information processing
2433	Cre03.g190950	K07374	3036	Chromosome and associated proteins
2434	Cre03.g190950	K07374	9183	Protein families: signaling and cellular processes
2435	Cre03.g190950	K07374	4147	Exosome
2464	Cre03.g192050	K07243	9183	Protein families: signaling and cellular processes
2523	Cre03.g196350	K09858	9194	Poorly characterized
2549	Cre03.g198200	K00706	9101	Carbohydrate metabolism
2550	Cre03.g198200	K00706	9132	Signal transduction
2551	Cre03.g198200	K00706	9181	Protein families: metabolism
2571	Cre03.g199400	K02604	9143	Cell growth and death
2572	Cre03.g199400	K02604	4111	Cell cycle - yeast
2573	Cre03.g199400	K02604	4113	Meiosis - yeast
2574	Cre03.g199400	K02604	9182	Protein families: genetic information processing
2575	Cre03.g199400	K02604	3036	Chromosome and associated proteins
2576	Cre03.g199423	K00254	9104	Nucleotide metabolism
2624	Cre03.g200200	K08824	9181	Protein families: metabolism
2635	Cre03.g202113	K01923	9104	Nucleotide metabolism
2664	Cre03.g205050	K14457	9103	Lipid metabolism
2665	Cre03.g205050	K14457	9154	Digestive system
2723	Cre03.g210177	K02183	9132	Signal transduction
2724	Cre03.g210177	K02183	4015	Rap1 signaling pathway
2725	Cre03.g210177	K02183	4016	MAPK signaling pathway - plant
2726	Cre03.g210177	K02183	4371	Apelin signaling pathway
2727	Cre03.g210177	K02183	4020	Calcium signaling pathway
2728	Cre03.g210177	K02183	4070	Phosphatidylinositol signaling system
2729	Cre03.g210177	K02183	4024	cAMP signaling pathway
2730	Cre03.g210177	K02183	4022	cGMP-PKG signaling pathway
2731	Cre03.g210177	K02183	9143	Cell growth and death
2732	Cre03.g210177	K02183	4218	Cellular senescence
2733	Cre03.g210177	K02183	9151	Immune system
2734	Cre03.g210177	K02183	9152	Endocrine system
2735	Cre03.g210177	K02183	4922	Glucagon signaling pathway
2736	Cre03.g210177	K02183	4912	GnRH signaling pathway
2737	Cre03.g210177	K02183	4915	Estrogen signaling pathway
2738	Cre03.g210177	K02183	4921	Oxytocin signaling pathway
2739	Cre03.g210177	K02183	4916	Melanogenesis
2740	Cre03.g210177	K02183	4924	Renin secretion
2741	Cre03.g210177	K02183	4925	Aldosterone synthesis and secretion
2742	Cre03.g210177	K02183	9153	Circulatory system
2743	Cre03.g210177	K02183	4270	Vascular smooth muscle contraction
2744	Cre03.g210177	K02183	9154	Digestive system
2745	Cre03.g210177	K02183	4971	Gastric acid secretion
2746	Cre03.g210177	K02183	9156	Nervous system
2747	Cre03.g210177	K02183	4720	Long-term potentiation
2748	Cre03.g210177	K02183	4722	Neurotrophin signaling pathway
2749	Cre03.g210177	K02183	9157	Sensory system
2750	Cre03.g210177	K02183	4745	Phototransduction - fly
2751	Cre03.g210177	K02183	4740	Olfactory transduction
2752	Cre03.g210177	K02183	4750	Inflammatory mediator regulation of TRP channels
2753	Cre03.g210177	K02183	9159	Environmental adaptation
2754	Cre03.g210177	K02183	4626	Plant-pathogen interaction
2755	Cre03.g210177	K02183	9161	Cancers: Overview
2756	Cre03.g210177	K02183	9162	Cancers: Specific types
