,Geneid,KO,Pathway_ko,Definition
46,Cre01.g003524,K13412,09181,Protein families: metabolism\n
47,Cre01.g004250,K10420,09183,Protein families: signaling and cellular processes\n
48,Cre01.g004300,K01953,09105,Amino acid metabolism\n
49,Cre01.g004300,K01953,09181,Protein families: metabolism\n
50,Cre01.g004350,K12200,09141,Transport and catabolism\n
51,Cre01.g004350,K12200,09182,Protein families: genetic information processing\n
52,Cre01.g004350,K12200,09183,Protein families: signaling and cellular processes\n
53,Cre01.g004500,K01703,09101,Carbohydrate metabolism\n
54,Cre01.g004500,K01703,09105,Amino acid metabolism\n
55,Cre01.g004500,K01703,09110,Biosynthesis of other secondary metabolites\n
56,Cre01.g005050,K06816,09133,Signaling molecules and interaction\n
57,Cre01.g005150,K00830,09101,Carbohydrate metabolism\n
58,Cre01.g005150,K00830,09102,Energy metabolism\n
59,Cre01.g005150,K00830,09105,Amino acid metabolism\n
60,Cre01.g005150,K00830,00260,"Glycine, serine and threonine metabolism\n"
61,Cre01.g005150,K00830,09141,Transport and catabolism\n
62,Cre01.g005150,K00830,09181,Protein families: metabolism\n
63,Cre01.g005550,K07943,09182,Protein families: genetic information processing\n
64,Cre01.g005550,K07943,09183,Protein families: signaling and cellular processes\n
65,Cre01.g005850,K00798,09108,Metabolism of cofactors and vitamins\n
66,Cre01.g005900,K10290,09182,Protein families: genetic information processing\n
67,Cre01.g006800,K03857,09107,Glycan biosynthesis and metabolism\n
68,Cre01.g006800,K03857,09181,Protein families: metabolism\n
69,Cre01.g006950,K01623,09101,Carbohydrate metabolism\n
70,Cre01.g006950,K01623,00030,Pentose phosphate pathway\n
71,Cre01.g006950,K01623,00051,Fructose and mannose metabolism\n
72,Cre01.g006950,K01623,09102,Energy metabolism\n
73,Cre01.g006950,K01623,00680,Methane metabolism\n
74,Cre01.g006950,K01623,09182,Protein families: genetic information processing\n
75,Cre01.g006950,K01623,03036,Chromosome and associated proteins\n
76,Cre01.g006950,K01623,09183,Protein families: signaling and cellular processes\n
77,Cre01.g007051,K02927,09122,Translation\n
78,Cre01.g007051,K02927,09182,Protein families: genetic information processing\n
79,Cre01.g007051,K08770,09152,Endocrine system\n
80,Cre01.g007051,K08770,09182,Protein families: genetic information processing\n
81,Cre01.g007200,K16675,09132,Signal transduction\n
82,Cre01.g007300,K13985,09156,Nervous system\n
83,Cre01.g007450,K15111,09183,Protein families: signaling and cellular processes\n
84,Cre01.g007651,K06176,09182,Protein families: genetic information processing\n
85,Cre01.g007700,K01255,09106,Metabolism of other amino acids\n
86,Cre01.g007700,K01255,09181,Protein families: metabolism\n
87,Cre01.g007901,K03327,09183,Protein families: signaling and cellular processes\n
88,Cre01.g007950,K15877,09102,Energy metabolism\n
89,Cre01.g008000,K18666,09192,Unclassified: genetic information processing\n
90,Cre01.g008450,K11548,09182,Protein families: genetic information processing\n
91,Cre01.g009250,K03164,09176,Drug resistance: Antineoplastic\n
92,Cre01.g009250,K03164,09182,Protein families: genetic information processing\n
93,Cre01.g009250,K03164,03036,Chromosome and associated proteins\n
94,Cre01.g009350,K10536,09105,Amino acid metabolism\n
95,Cre01.g009500,K13412,09159,Environmental adaptation\n
96,Cre01.g009500,K13412,09174,Infectious diseases: Parasitic\n
97,Cre01.g009500,K13412,09181,Protein families: metabolism\n
98,Cre01.g009950,K14568,09122,Translation\n
99,Cre01.g009950,K14568,09182,Protein families: genetic information processing\n
100,Cre01.g010000,K14512,09132,Signal transduction\n
101,Cre01.g010000,K14512,04075,Plant hormone signal transduction\n
102,Cre01.g010000,K14512,09181,Protein families: metabolism\n
103,Cre01.g010350,K03801,09108,Metabolism of cofactors and vitamins\n
104,Cre01.g010848,K06997,09191,Unclassified: metabolism\n
105,Cre01.g010864,K02836,09182,Protein families: genetic information processing\n
106,Cre01.g010880,K18598,09193,Unclassified: signaling and cellular processes\n
107,Cre01.g010900,K05298,09102,Energy metabolism\n
108,Cre01.g011000,K02934,09122,Translation\n
109,Cre01.g011000,K02934,09182,Protein families: genetic information processing\n
110,Cre01.g011100,K01853,09103,Lipid metabolism\n
111,Cre01.g011300,K09645,09181,Protein families: metabolism\n
112,Cre01.g011350,K03135,09121,Transcription\n
113,Cre01.g011350,K03135,09182,Protein families: genetic information processing\n
114,Cre01.g011500,K03030,09123,"Folding, sorting and degradation\n"
115,Cre01.g011500,K03030,09172,Infectious diseases: Viral\n
116,Cre01.g011500,K03030,09181,Protein families: metabolism\n
117,Cre01.g011500,K03030,09182,Protein families: genetic information processing\n
118,Cre01.g011500,K03030,03051,Proteasome\n
119,Cre01.g012150,K07304,09191,Unclassified: metabolism\n
120,Cre01.g012350,K02331,09182,Protein families: genetic information processing\n
121,Cre01.g012350,K02331,03400,DNA repair and recombination proteins\n
122,Cre01.g012450,K10592,09123,"Folding, sorting and degradation\n"
123,Cre01.g012450,K10592,09182,Protein families: genetic information processing\n
124,Cre01.g012600,K01835,09101,Carbohydrate metabolism\n
125,Cre01.g012600,K01835,00030,Pentose phosphate pathway\n
126,Cre01.g012600,K01835,00052,Galactose metabolism\n
127,Cre01.g012600,K01835,00500,Starch and sucrose metabolism\n
128,Cre01.g012600,K01835,00520,Amino sugar and nucleotide sugar metabolism\n
129,Cre01.g012600,K01835,09104,Nucleotide metabolism\n
130,Cre01.g012600,K01835,09110,Biosynthesis of other secondary metabolites\n
131,Cre01.g013150,K06995,09194,Poorly characterized\n
132,Cre01.g013400,K05291,09107,Glycan biosynthesis and metabolism\n
133,Cre01.g013700,K15040,09132,Signal transduction\n
134,Cre01.g013700,K15040,04022,cGMP-PKG signaling pathway\n
135,Cre01.g013700,K15040,09143,Cell growth and death\n
136,Cre01.g013700,K15040,04217,Necroptosis\n
137,Cre01.g013700,K15040,04218,Cellular senescence\n
138,Cre01.g013700,K15040,09151,Immune system\n
139,Cre01.g013700,K15040,09154,Digestive system\n
140,Cre01.g013700,K15040,09164,Neurodegenerative diseases\n
141,Cre01.g013700,K15040,05016,Huntington disease\n
142,Cre01.g013700,K15040,09172,Infectious diseases: Viral\n
143,Cre01.g013700,K15040,09182,Protein families: genetic information processing\n
144,Cre01.g013700,K15040,09183,Protein families: signaling and cellular processes\n
145,Cre01.g013801,K09834,09108,Metabolism of cofactors and vitamins\n
146,Cre01.g014150,K03327,09183,Protein families: signaling and cellular processes\n
147,Cre01.g014600,K02218,09132,Signal transduction\n
148,Cre01.g014600,K02218,04392,Hippo signaling pathway - multiple species\n
149,Cre01.g014600,K02218,09181,Protein families: metabolism\n
150,Cre01.g014650,K00472,09105,Amino acid metabolism\n
151,Cre01.g014800,K07456,09124,Replication and repair\n
152,Cre01.g014800,K07456,09182,Protein families: genetic information processing\n
153,Cre01.g014850,K17822,09182,Protein families: genetic information processing\n
154,Cre01.g015000,K00930,09105,Amino acid metabolism\n
155,Cre01.g015250,K02327,09124,Replication and repair\n
156,Cre01.g015250,K02327,03410,Base excision repair\n
157,Cre01.g015250,K02327,03420,Nucleotide excision repair\n
158,Cre01.g015250,K02327,03430,Mismatch repair\n
159,Cre01.g015250,K02327,03440,Homologous recombination\n
160,Cre01.g015250,K02327,09182,Protein families: genetic information processing\n
161,Cre01.g015250,K02327,03400,DNA repair and recombination proteins\n
162,Cre01.g015350,K00218,09108,Metabolism of cofactors and vitamins\n
163,Cre01.g015550,K02510,09105,Amino acid metabolism\n
164,Cre01.g016050,K12856,09121,Transcription\n
165,Cre01.g016050,K12856,09182,Protein families: genetic information processing\n
166,Cre01.g016514,K00382,09101,Carbohydrate metabolism\n
167,Cre01.g016514,K00382,00020,Citrate cycle (TCA cycle)\n
168,Cre01.g016514,K00382,00620,Pyruvate metabolism\n
169,Cre01.g016514,K00382,00630,Glyoxylate and dicarboxylate metabolism\n
170,Cre01.g016514,K00382,00640,Propanoate metabolism\n
171,Cre01.g016514,K00382,09105,Amino acid metabolism\n
172,Cre01.g016514,K00382,00280,"Valine, leucine and isoleucine degradation\n"
173,Cre01.g016514,K00382,09183,Protein families: signaling and cellular processes\n
174,Cre01.g016528,K16054,09105,Amino acid metabolism\n
175,Cre01.g016556,K03115,09122,Translation\n
176,Cre01.g016556,K03115,09132,Signal transduction\n
177,Cre01.g016556,K03115,04064,NF-kappa B signaling pathway\n
178,Cre01.g016556,K03115,09141,Transport and catabolism\n
179,Cre01.g016556,K03115,04139,Mitophagy - yeast\n
180,Cre01.g016556,K03115,09144,Cellular community - eukaryotes\n
181,Cre01.g016556,K03115,09159,Environmental adaptation\n
182,Cre01.g016556,K03115,09172,Infectious diseases: Viral\n
183,Cre01.g016556,K03115,05168,Herpes simplex infection\n
184,Cre01.g016556,K03115,09182,Protein families: genetic information processing\n
185,Cre01.g016556,K03115,03036,Chromosome and associated proteins\n
186,Cre01.g016600,K03542,09102,Energy metabolism\n
187,Cre01.g016600,K03542,09181,Protein families: metabolism\n
188,Cre01.g016750,K03542,09102,Energy metabolism\n
189,Cre01.g016750,K03542,09181,Protein families: metabolism\n
190,Cre01.g016950,K05955,09109,Metabolism of terpenoids and polyketides\n
191,Cre01.g016950,K05955,09181,Protein families: metabolism\n
192,Cre01.g017250,K09571,09152,Endocrine system\n
193,Cre01.g017250,K09571,09182,Protein families: genetic information processing\n
194,Cre01.g017450,K02321,09124,Replication and repair\n
195,Cre01.g017450,K02321,09182,Protein families: genetic information processing\n
196,Cre01.g017500,K14574,09122,Translation\n
197,Cre01.g017500,K14574,09182,Protein families: genetic information processing\n
198,Cre01.g018000,K03000,09121,Transcription\n
199,Cre01.g018000,K03000,09182,Protein families: genetic information processing\n
200,Cre01.g018184,K00587,09109,Metabolism of terpenoids and polyketides\n
201,Cre01.g018400,K00913,09101,Carbohydrate metabolism\n
202,Cre01.g018400,K00913,09132,Signal transduction\n
203,Cre01.g018850,K12603,09123,"Folding, sorting and degradation\n"
204,Cre01.g018850,K12603,09182,Protein families: genetic information processing\n
205,Cre01.g018900,K11971,09182,Protein families: genetic information processing\n
206,Cre01.g018950,K00809,09191,Unclassified: metabolism\n
207,Cre01.g019150,K16571,09182,Protein families: genetic information processing\n
208,Cre01.g019150,K16571,09183,Protein families: signaling and cellular processes\n
209,Cre01.g019200,K14849,09181,Protein families: metabolism\n
210,Cre01.g019200,K14849,09182,Protein families: genetic information processing\n
211,Cre01.g019250,K10046,09101,Carbohydrate metabolism\n
212,Cre01.g019250,K10046,00520,Amino sugar and nucleotide sugar metabolism\n
213,Cre01.g019450,K10577,09122,Translation\n
214,Cre01.g019450,K10577,09123,"Folding, sorting and degradation\n"
215,Cre01.g019450,K10577,09132,Signal transduction\n
216,Cre01.g019450,K10577,09161,Cancers: Overview\n
217,Cre01.g019450,K10577,09182,Protein families: genetic information processing\n
218,Cre01.g019450,K10577,04121,Ubiquitin system\n
219,Cre01.g019850,K08956,09181,Protein families: metabolism\n
220,Cre01.g019850,K08956,09182,Protein families: genetic information processing\n
221,Cre01.g019950,K09510,09182,Protein families: genetic information processing\n
222,Cre01.g020223,K01679,09101,Carbohydrate metabolism\n
223,Cre01.g020223,K01679,00620,Pyruvate metabolism\n
224,Cre01.g020223,K01679,09102,Energy metabolism\n
225,Cre01.g020223,K01679,09161,Cancers: Overview\n
226,Cre01.g020223,K01679,09162,Cancers: Specific types\n
227,Cre01.g020223,K01679,09167,Endocrine and metabolic diseases\n
228,Cre01.g020264,K08334,09132,Signal transduction\n
229,Cre01.g020264,K08334,09141,Transport and catabolism\n
230,Cre01.g020264,K08334,04138,Autophagy - yeast\n
231,Cre01.g020264,K08334,04136,Autophagy - other\n
232,Cre01.g020264,K08334,04137,Mitophagy - animal\n
233,Cre01.g020264,K08334,09143,Cell growth and death\n
234,Cre01.g020264,K08334,09172,Infectious diseases: Viral\n
235,Cre01.g020264,K08334,09182,Protein families: genetic information processing\n
236,Cre01.g020264,K08334,03029,Mitochondrial biogenesis\n
237,Cre01.g020305,K00237,09101,Carbohydrate metabolism\n
238,Cre01.g020305,K00237,09102,Energy metabolism\n
239,Cre01.g020305,K00237,09159,Environmental adaptation\n
240,Cre01.g020305,K00237,09164,Neurodegenerative diseases\n
241,Cre01.g020305,K00237,05012,Parkinson disease\n
242,Cre01.g020305,K00237,05016,Huntington disease\n
243,Cre01.g020305,K00237,09167,Endocrine and metabolic diseases\n
244,Cre01.g020350,K00236,09101,Carbohydrate metabolism\n
245,Cre01.g020350,K00236,09102,Energy metabolism\n
246,Cre01.g020350,K00236,09159,Environmental adaptation\n
247,Cre01.g020350,K00236,09164,Neurodegenerative diseases\n
248,Cre01.g020350,K00236,05012,Parkinson disease\n
249,Cre01.g020350,K00236,05016,Huntington disease\n
250,Cre01.g020350,K00236,09167,Endocrine and metabolic diseases\n
251,Cre01.g020400,K13111,09182,Protein families: genetic information processing\n
252,Cre01.g020887,K06972,09181,Protein families: metabolism\n
253,Cre01.g020918,K06972,09181,Protein families: metabolism\n
254,Cre01.g020950,K14852,09182,Protein families: genetic information processing\n
255,Cre01.g021050,K17790,09182,Protein families: genetic information processing\n
256,Cre01.g021050,K17790,09183,Protein families: signaling and cellular processes\n
257,Cre01.g021251,K01755,09105,Amino acid metabolism\n
258,Cre01.g021251,K01755,00220,Arginine biosynthesis\n
259,Cre01.g021251,K01755,09183,Protein families: signaling and cellular processes\n
260,Cre01.g021500,K15377,09161,Cancers: Overview\n
261,Cre01.g021500,K15377,09183,Protein families: signaling and cellular processes\n
262,Cre01.g021500,K15377,04147,Exosome\n
263,Cre01.g021600,K12823,09121,Transcription\n
264,Cre01.g021600,K12823,09161,Cancers: Overview\n
265,Cre01.g021600,K12823,05205,Proteoglycans in cancer\n
266,Cre01.g021600,K12823,09182,Protein families: genetic information processing\n
267,Cre01.g021600,K12823,03009,Ribosome biogenesis\n
268,Cre01.g021950,K10408,09164,Neurodegenerative diseases\n
269,Cre01.g021950,K10408,09183,Protein families: signaling and cellular processes\n
270,Cre01.g022250,K02906,09122,Translation\n
271,Cre01.g022250,K02906,09182,Protein families: genetic information processing\n
272,Cre01.g022350,K14805,09182,Protein families: genetic information processing\n
273,Cre01.g022500,K00029,09101,Carbohydrate metabolism\n
274,Cre01.g022500,K00029,09102,Energy metabolism\n
275,Cre01.g022650,K01431,09104,Nucleotide metabolism\n
276,Cre01.g022650,K01431,09106,Metabolism of other amino acids\n
277,Cre01.g022650,K01431,09108,Metabolism of cofactors and vitamins\n
278,Cre01.g022650,K01431,09111,Xenobiotics biodegradation and metabolism\n
279,Cre01.g023150,K02209,09124,Replication and repair\n
280,Cre01.g023150,K02209,09143,Cell growth and death\n
281,Cre01.g023150,K02209,04111,Cell cycle - yeast\n
282,Cre01.g023150,K02209,04113,Meiosis - yeast\n
283,Cre01.g023150,K02209,09182,Protein families: genetic information processing\n
284,Cre01.g023150,K02209,03036,Chromosome and associated proteins\n
285,Cre01.g023400,K14617,09154,Digestive system\n
286,Cre01.g024300,K11866,09141,Transport and catabolism\n
287,Cre01.g024300,K11866,09181,Protein families: metabolism\n
288,Cre01.g024300,K11866,09182,Protein families: genetic information processing\n
289,Cre01.g024300,K11866,04121,Ubiquitin system\n
290,Cre01.g024500,K16484,09182,Protein families: genetic information processing\n
291,Cre01.g024850,K18065,09181,Protein families: metabolism\n
292,Cre01.g025000,K16056,09132,Signal transduction\n
293,Cre01.g025000,K16056,04024,cAMP signaling pathway\n
294,Cre01.g025000,K16056,09151,Immune system\n
295,Cre01.g025000,K16056,09152,Endocrine system\n
296,Cre01.g025000,K16056,04925,Aldosterone synthesis and secretion\n
297,Cre01.g025000,K16056,04927,Cortisol synthesis and secretion\n
298,Cre01.g025000,K16056,09163,Immune diseases\n
299,Cre01.g025000,K16056,09167,Endocrine and metabolic diseases\n
300,Cre01.g025000,K16056,09183,Protein families: signaling and cellular processes\n
301,Cre01.g025250,K00861,09108,Metabolism of cofactors and vitamins\n
302,Cre01.g025300,K10869,09124,Replication and repair\n
303,Cre01.g025300,K10869,09182,Protein families: genetic information processing\n
304,Cre01.g025400,K17570,09181,Protein families: metabolism\n
305,Cre01.g025850,K00469,09101,Carbohydrate metabolism\n
306,Cre01.g025850,K00469,00562,Inositol phosphate metabolism\n
307,Cre01.g026100,K03537,09122,Translation\n
308,Cre01.g026100,K03537,03008,Ribosome biogenesis in eukaryotes\n
309,Cre01.g026100,K03537,09182,Protein families: genetic information processing\n
310,Cre01.g026100,K03537,03016,Transfer RNA biogenesis\n
311,Cre01.g026100,K03537,03029,Mitochondrial biogenesis\n
312,Cre01.g026250,K07407,09101,Carbohydrate metabolism\n
313,Cre01.g026250,K07407,09103,Lipid metabolism\n
314,Cre01.g026250,K07407,00600,Sphingolipid metabolism\n
315,Cre01.g026250,K07407,09107,Glycan biosynthesis and metabolism\n
316,Cre01.g026450,K12890,09121,Transcription\n
317,Cre01.g026450,K12890,09151,Immune system\n
318,Cre01.g026450,K12890,09172,Infectious diseases: Viral\n
319,Cre01.g026450,K12890,09182,Protein families: genetic information processing\n
320,Cre01.g026550,K09499,09182,Protein families: genetic information processing\n
321,Cre01.g026550,K09499,09183,Protein families: signaling and cellular processes\n
322,Cre01.g026600,K10580,09123,"Folding, sorting and degradation\n"
323,Cre01.g026600,K10580,09151,Immune system\n
324,Cre01.g026600,K10580,09182,Protein families: genetic information processing\n
325,Cre01.g026600,K10580,03400,DNA repair and recombination proteins\n
326,Cre01.g027000,K02868,09122,Translation\n
327,Cre01.g027000,K02868,09182,Protein families: genetic information processing\n
328,Cre01.g027100,K09648,09123,"Folding, sorting and degradation\n"
329,Cre01.g027100,K09648,09181,Protein families: metabolism\n
330,Cre01.g027100,K09648,09182,Protein families: genetic information processing\n
331,Cre01.g027200,K10576,09123,"Folding, sorting and degradation\n"
332,Cre01.g027200,K10576,09182,Protein families: genetic information processing\n
333,Cre01.g027450,K03671,09151,Immune system\n
334,Cre01.g027450,K03671,09166,Cardiovascular diseases\n
335,Cre01.g027450,K03671,09182,Protein families: genetic information processing\n
336,Cre01.g027764,K03327,09183,Protein families: signaling and cellular processes\n
337,Cre01.g027800,K02144,09102,Energy metabolism\n
338,Cre01.g027800,K02144,09132,Signal transduction\n
339,Cre01.g027800,K02144,09141,Transport and catabolism\n
340,Cre01.g027800,K02144,04142,Lysosome\n
341,Cre01.g027800,K02144,09156,Nervous system\n
342,Cre01.g027800,K02144,09163,Immune diseases\n
343,Cre01.g027800,K02144,09171,Infectious diseases: Bacterial\n
344,Cre01.g027800,K02144,05120,Epithelial cell signaling in Helicobacter pylori infection\n
345,Cre01.g027800,K02144,05152,Tuberculosis\n
346,Cre01.g027800,K02144,09172,Infectious diseases: Viral\n
347,Cre01.g027900,K17338,09193,Unclassified: signaling and cellular processes\n
348,Cre01.g028200,K12823,09121,Transcription\n
349,Cre01.g028200,K12823,09161,Cancers: Overview\n
350,Cre01.g028200,K12823,05205,Proteoglycans in cancer\n
351,Cre01.g028200,K12823,09182,Protein families: genetic information processing\n
352,Cre01.g028200,K12823,03009,Ribosome biogenesis\n
353,Cre01.g028423,K01593,09105,Amino acid metabolism\n
354,Cre01.g028423,K01593,00360,Phenylalanine metabolism\n
355,Cre01.g028423,K01593,00380,Tryptophan metabolism\n
356,Cre01.g028423,K01593,09110,Biosynthesis of other secondary metabolites\n
357,Cre01.g028423,K01593,00950,Isoquinoline alkaloid biosynthesis\n
358,Cre01.g028423,K01593,00965,Betalain biosynthesis\n
359,Cre01.g028423,K01593,09156,Nervous system\n
360,Cre01.g028423,K01593,04726,Serotonergic synapse\n
361,Cre01.g028423,K01593,09165,Substance dependence\n
362,Cre01.g028423,K01593,05031,Amphetamine addiction\n
363,Cre01.g028423,K01593,05034,Alcoholism\n
364,Cre01.g028423,K01593,09183,Protein families: signaling and cellular processes\n
365,Cre01.g028550,K18342,09182,Protein families: genetic information processing\n
366,Cre01.g029100,K10733,09182,Protein families: genetic information processing\n
367,Cre01.g029200,K02365,09143,Cell growth and death\n
368,Cre01.g029200,K02365,04111,Cell cycle - yeast\n
369,Cre01.g029200,K02365,04113,Meiosis - yeast\n
370,Cre01.g029200,K02365,04114,Oocyte meiosis\n
371,Cre01.g029200,K02365,09172,Infectious diseases: Viral\n
372,Cre01.g029200,K02365,09181,Protein families: metabolism\n
373,Cre01.g029200,K02365,09182,Protein families: genetic information processing\n
374,Cre01.g029300,K01803,09101,Carbohydrate metabolism\n
375,Cre01.g029300,K01803,00051,Fructose and mannose metabolism\n
376,Cre01.g029300,K01803,00562,Inositol phosphate metabolism\n
377,Cre01.g029300,K01803,09102,Energy metabolism\n
378,Cre01.g029300,K01803,09183,Protein families: signaling and cellular processes\n
379,Cre01.g029450,K09272,09182,Protein families: genetic information processing\n
380,Cre01.g029600,K17991,09103,Lipid metabolism\n
381,Cre01.g029650,K18468,09141,Transport and catabolism\n
382,Cre01.g029650,K18468,09182,Protein families: genetic information processing\n
383,Cre01.g029750,K00939,09104,Nucleotide metabolism\n
384,Cre01.g029750,K00939,09108,Metabolism of cofactors and vitamins\n
385,Cre01.g029750,K00939,09183,Protein families: signaling and cellular processes\n
386,Cre01.g030050,K02914,09122,Translation\n
387,Cre01.g030050,K02914,09182,Protein families: genetic information processing\n
388,Cre01.g030250,K15422,09101,Carbohydrate metabolism\n
389,Cre01.g030250,K15422,09102,Energy metabolism\n
390,Cre01.g030250,K15422,09132,Signal transduction\n
391,Cre01.g030500,K11858,09181,Protein families: metabolism\n
392,Cre01.g030500,K11858,09182,Protein families: genetic information processing\n
393,Cre01.g030650,K01669,09182,Protein families: genetic information processing\n
394,Cre01.g030800,K12176,09182,Protein families: genetic information processing\n
395,Cre01.g030850,K02731,09123,"Folding, sorting and degradation\n"
396,Cre01.g030850,K02731,09181,Protein families: metabolism\n
397,Cre01.g030850,K02731,09182,Protein families: genetic information processing\n
398,Cre01.g030850,K02731,03051,Proteasome\n
399,Cre01.g030900,K14760,09108,Metabolism of cofactors and vitamins\n
400,Cre01.g030950,K15901,09182,Protein families: genetic information processing\n
401,Cre01.g031050,K15172,09182,Protein families: genetic information processing\n
402,Cre01.g031050,K15172,03019,Messenger RNA biogenesis\n
403,Cre01.g031200,K03104,09123,"Folding, sorting and degradation\n"
404,Cre01.g031200,K03104,09183,Protein families: signaling and cellular processes\n
405,Cre01.g031750,K11883,09122,Translation\n
406,Cre01.g031750,K11883,09182,Protein families: genetic information processing\n
407,Cre01.g031750,K11883,03051,Proteasome\n
408,Cre01.g031900,K08869,09181,Protein families: metabolism\n
409,Cre01.g032050,K15275,09183,Protein families: signaling and cellular processes\n
410,Cre01.g032100,K10570,09123,"Folding, sorting and degradation\n"
411,Cre01.g032100,K10570,09124,Replication and repair\n
412,Cre01.g032100,K10570,09182,Protein families: genetic information processing\n
413,Cre01.g032100,K10570,03400,DNA repair and recombination proteins\n
414,Cre01.g032350,K10134,09143,Cell growth and death\n
415,Cre01.g032450,K06816,09133,Signaling molecules and interaction\n
416,Cre01.g032500,K09523,09123,"Folding, sorting and degradation\n"
417,Cre01.g032500,K09523,09172,Infectious diseases: Viral\n
418,Cre01.g032500,K09523,09182,Protein families: genetic information processing\n
419,Cre01.g032550,K11267,09182,Protein families: genetic information processing\n
420,Cre01.g033091,K06927,09182,Protein families: genetic information processing\n
421,Cre01.g033400,K17777,09182,Protein families: genetic information processing\n
422,Cre01.g033400,K17777,09183,Protein families: signaling and cellular processes\n
423,Cre01.g033550,K09584,09123,"Folding, sorting and degradation\n"
424,Cre01.g033550,K09584,09182,Protein families: genetic information processing\n
425,Cre01.g033550,K09584,04131,Membrane trafficking\n
426,Cre01.g033950,K18417,09182,Protein families: genetic information processing\n
427,Cre01.g033950,K18417,03036,Chromosome and associated proteins\n
428,Cre01.g034000,K14293,09122,Translation\n
429,Cre01.g034000,K14293,09182,Protein families: genetic information processing\n
430,Cre01.g034000,K14293,03036,Chromosome and associated proteins\n
431,Cre01.g034100,K01408,09164,Neurodegenerative diseases\n
432,Cre01.g034100,K01408,09181,Protein families: metabolism\n
433,Cre01.g034400,K01057,09101,Carbohydrate metabolism\n
434,Cre01.g034451,K14012,09123,"Folding, sorting and degradation\n"
435,Cre01.g034650,K03352,09123,"Folding, sorting and degradation\n"
436,Cre01.g034650,K03352,09143,Cell growth and death\n
437,Cre01.g034650,K03352,04111,Cell cycle - yeast\n
438,Cre01.g034650,K03352,04113,Meiosis - yeast\n
439,Cre01.g034650,K03352,04114,Oocyte meiosis\n
440,Cre01.g034650,K03352,09151,Immune system\n
441,Cre01.g034650,K03352,09152,Endocrine system\n
442,Cre01.g034650,K03352,09172,Infectious diseases: Viral\n
443,Cre01.g034650,K03352,09182,Protein families: genetic information processing\n
444,Cre01.g034650,K03352,03036,Chromosome and associated proteins\n
445,Cre01.g034950,K06184,09182,Protein families: genetic information processing\n
446,Cre01.g035000,K14791,09182,Protein families: genetic information processing\n
447,Cre01.g035300,K12251,09105,Amino acid metabolism\n
448,Cre01.g035350,K07512,09103,Lipid metabolism\n
449,Cre01.g035450,K06890,09194,Poorly characterized\n
