	Unnamed: 0	KO	Pathway_ko	Definition	Geneid
60	60	K00830	260	Glycine, serine and threonine metabolism	Cre01.g013801
61	61	K00830	9141	Transport and catabolism	Cre14.g625350
62	62	K00830	9181	Protein families: metabolism	Cre12.g549750
63	63	K07943	9182	Protein families: genetic information processing	Cre14.g626200
64	64	K07943	9183	Protein families: signaling and cellular processes	Cre01.g014800
65	65	K00798	9108	Metabolism of cofactors and vitamins	Cre12.g488250
66	66	K10290	9182	Protein families: genetic information processing	Cre01.g015000
67	67	K03857	9107	Glycan biosynthesis and metabolism	Cre03.g198750
68	68	K03857	9181	Protein families: metabolism	Cre01.g015350
69	69	K01623	9101	Carbohydrate metabolism	Cre01.g015550
70	70	K01623	30	Pentose phosphate pathway	Cre01.g016050
71	71	K01623	51	Fructose and mannose metabolism	Cre18.g749847
72	72	K01623	9102	Energy metabolism	Cre01.g016528
73	73	K01623	680	Methane metabolism	Cre01.g016556
74	74	K01623	9182	Protein families: genetic information processing	Cre01.g016750
75	75	K01623	3036	Chromosome and associated proteins	Cre01.g016750
76	76	K01623	9183	Protein families: signaling and cellular processes	Cre01.g016950
77	77	K02927	9122	Translation	Cre09.g398067
78	78	K02927	9182	Protein families: genetic information processing	Cre01.g017450
79	79	K08770	9152	Endocrine system	Cre01.g017500
80	80	K08770	9182	Protein families: genetic information processing	Cre01.g018000
81	81	K16675	9132	Signal transduction	Cre01.g018184
82	82	K13985	9156	Nervous system	Cre03.g182100
83	83	K15111	9183	Protein families: signaling and cellular processes	Cre12.g504000
84	84	K06176	9182	Protein families: genetic information processing	Cre01.g018900
85	85	K01255	9106	Metabolism of other amino acids	Cre08.g369800
86	86	K01255	9181	Protein families: metabolism	Cre01.g019150
87	87	K03327	9183	Protein families: signaling and cellular processes	Cre01.g019200
88	88	K15877	9102	Energy metabolism	Cre01.g019250
89	89	K18666	9192	Unclassified: genetic information processing	Cre03.g167000
90	90	K11548	9182	Protein families: genetic information processing	Cre01.g019850
91	91	K03164	9176	Drug resistance: Antineoplastic	Cre10.g420100
92	92	K03164	9182	Protein families: genetic information processing	Cre01.g020223
93	93	K03164	3036	Chromosome and associated proteins	Cre01.g020264
94	94	K10536	9105	Amino acid metabolism	Cre01.g020305
95	95	K13412	9159	Environmental adaptation	Cre01.g020350
96	96	K13412	9174	Infectious diseases: Parasitic	Cre01.g020400
97	97	K13412	9181	Protein families: metabolism	Cre01.g020918
98	98	K14568	9122	Translation	Cre01.g020918
99	99	K14568	9182	Protein families: genetic information processing	Cre01.g020950
100	100	K14512	9132	Signal transduction	Cre01.g021050
101	101	K14512	4075	Plant hormone signal transduction	Cre01.g021251
102	102	K14512	9181	Protein families: metabolism	Cre01.g021500
103	103	K03801	9108	Metabolism of cofactors and vitamins	Cre12.g540200
104	104	K06997	9191	Unclassified: metabolism	Cre16.g685450
105	105	K02836	9182	Protein families: genetic information processing	Cre48.g761197
106	106	K18598	9193	Unclassified: signaling and cellular processes	Cre01.g022350
107	107	K05298	9102	Energy metabolism	Cre14.g629750
108	108	K02934	9122	Translation	Cre01.g022650
109	109	K02934	9182	Protein families: genetic information processing	Cre01.g023150
110	110	K01853	9103	Lipid metabolism	Cre01.g023400
111	111	K09645	9181	Protein families: metabolism	Cre01.g024300
112	112	K03135	9121	Transcription	Cre01.g024500
113	113	K03135	9182	Protein families: genetic information processing	Cre07.g354301
114	114	K03030	9123	Folding, sorting and degradation	Cre01.g025000
115	115	K03030	9172	Infectious diseases: Viral	Cre06.g311600
116	116	K03030	9181	Protein families: metabolism	Cre01.g025300
117	117	K03030	9182	Protein families: genetic information processing	Cre01.g025400
118	118	K03030	3051	Proteasome	Cre01.g025850
119	119	K07304	9191	Unclassified: metabolism	Cre01.g026100
120	120	K02331	9182	Protein families: genetic information processing	Cre01.g026250
121	121	K02331	3400	DNA repair and recombination proteins	Cre06.g278239
122	122	K10592	9123	Folding, sorting and degradation	Cre01.g026550
123	123	K10592	9182	Protein families: genetic information processing	Cre01.g026600
124	124	K01835	9101	Carbohydrate metabolism	Cre01.g027000
125	125	K01835	30	Pentose phosphate pathway	Cre01.g027100
126	126	K01835	52	Galactose metabolism	Cre01.g027200
127	127	K01835	500	Starch and sucrose metabolism	Cre16.g656600
128	128	K01835	520	Amino sugar and nucleotide sugar metabolism	Cre14.g625350
129	129	K01835	9104	Nucleotide metabolism	Cre01.g027800
130	130	K01835	9110	Biosynthesis of other secondary metabolites	Cre01.g027900
131	131	K06995	9194	Poorly characterized	Cre12.g540200
132	132	K05291	9107	Glycan biosynthesis and metabolism	Cre01.g028423
133	133	K15040	9132	Signal transduction	Cre01.g047450
134	134	K15040	4022	cGMP-PKG signaling pathway	Cre01.g029100
135	135	K15040	9143	Cell growth and death	Cre01.g029200
136	136	K15040	4217	Necroptosis	Cre01.g029300
137	137	K15040	4218	Cellular senescence	Cre02.g089850
138	138	K15040	9151	Immune system	Cre06.g287000
139	139	K15040	9154	Digestive system	Cre01.g029650
140	140	K15040	9164	Neurodegenerative diseases	Cre12.g557600
141	141	K15040	5016	Huntington disease	Cre01.g030050
142	142	K15040	9172	Infectious diseases: Viral	Cre01.g030250
143	143	K15040	9182	Protein families: genetic information processing	Cre01.g030500
144	144	K15040	9183	Protein families: signaling and cellular processes	Cre12.g533000
145	145	K09834	9108	Metabolism of cofactors and vitamins	Cre01.g030800
146	146	K03327	9183	Protein families: signaling and cellular processes	Cre01.g030850
147	147	K02218	9132	Signal transduction	Cre01.g030900
148	148	K02218	4392	Hippo signaling pathway - multiple species	Cre01.g030950
149	149	K02218	9181	Protein families: metabolism	Cre01.g031050
150	150	K00472	9105	Amino acid metabolism	Cre01.g031200
151	151	K07456	9124	Replication and repair	Cre01.g031750
152	152	K07456	9182	Protein families: genetic information processing	Cre10.g430800
153	153	K17822	9182	Protein families: genetic information processing	Cre01.g032050
154	154	K00930	9105	Amino acid metabolism	Cre01.g032100
155	155	K02327	9124	Replication and repair	Cre01.g032350
156	156	K02327	3410	Base excision repair	Cre12.g512000
157	157	K02327	3420	Nucleotide excision repair	Cre01.g032500
158	158	K02327	3430	Mismatch repair	Cre01.g032550
159	159	K02327	3440	Homologous recombination	Cre01.g033091
160	160	K02327	9182	Protein families: genetic information processing	Cre01.g033400
161	161	K02327	3400	DNA repair and recombination proteins	Cre12.g518200
162	162	K00218	9108	Metabolism of cofactors and vitamins	Cre01.g033950
163	163	K02510	9105	Amino acid metabolism	Cre01.g034000
164	164	K12856	9121	Transcription	Cre09.g386113
165	165	K12856	9182	Protein families: genetic information processing	Cre08.g370650
166	166	K00382	9101	Carbohydrate metabolism	Cre01.g034451
167	167	K00382	20	Citrate cycle (TCA cycle)\n	Cre01.g034650
168	168	K00382	620	Pyruvate metabolism	Cre01.g034950
169	169	K00382	630	Glyoxylate and dicarboxylate metabolism	Cre01.g035000
170	170	K00382	640	Propanoate metabolism	Cre12.g535750
171	171	K00382	9105	Amino acid metabolism	Cre01.g035350
172	172	K00382	280	Valine, leucine and isoleucine degradation	Cre06.g252401
173	173	K00382	9183	Protein families: signaling and cellular processes	Cre01.g035500
174	174	K16054	9105	Amino acid metabolism	Cre09.g392503
175	175	K03115	9122	Translation	Cre01.g035950
176	176	K03115	9132	Signal transduction	Cre01.g036050
177	177	K03115	4064	NF-kappa B signaling pathway	Cre01.g036100
178	178	K03115	9141	Transport and catabolism	Cre16.g681750
179	179	K03115	4139	Mitophagy - yeast	Cre01.g036600
180	180	K03115	9144	Cellular community - eukaryotes	Cre07.g337516
181	181	K03115	9159	Environmental adaptation	Cre10.g427750
182	182	K03115	9172	Infectious diseases: Viral	Cre16.g648350
183	183	K03115	5168	Herpes simplex infection	Cre16.g683350
184	184	K03115	9182	Protein families: genetic information processing	Cre01.g037400
185	185	K03115	3036	Chromosome and associated proteins	Cre01.g037600
186	186	K03542	9102	Energy metabolism	Cre06.g298650
187	187	K03542	9181	Protein families: metabolism	Cre01.g038000
188	188	K03542	9102	Energy metabolism	Cre01.g038250
189	189	K03542	9181	Protein families: metabolism	Cre01.g038400
190	190	K05955	9109	Metabolism of terpenoids and polyketides	Cre16.g689150
191	191	K05955	9181	Protein families: metabolism	Cre01.g038600
192	192	K09571	9152	Endocrine system	Cre13.g586916
193	193	K09571	9182	Protein families: genetic information processing	Cre17.g729450
194	194	K02321	9124	Replication and repair	Cre01.g038800
195	195	K02321	9182	Protein families: genetic information processing	Cre01.g039200
196	196	K14574	9122	Translation	Cre01.g039250
197	197	K14574	9182	Protein families: genetic information processing	Cre01.g039300
198	198	K03000	9121	Transcription	Cre16.g683550
199	199	K03000	9182	Protein families: genetic information processing	Cre03.g172100
200	200	K00587	9109	Metabolism of terpenoids and polyketides	Cre03.g172100
201	201	K00913	9101	Carbohydrate metabolism	Cre12.g492250
202	202	K00913	9132	Signal transduction	Cre01.g040000
203	203	K12603	9123	Folding, sorting and degradation	Cre01.g040050
204	204	K12603	9182	Protein families: genetic information processing	Cre17.g700166
205	205	K11971	9182	Protein families: genetic information processing	Cre17.g700166
206	206	K00809	9191	Unclassified: metabolism	Cre09.g396139
207	207	K16571	9182	Protein families: genetic information processing	Cre01.g040450
208	208	K16571	9183	Protein families: signaling and cellular processes	Cre01.g040500
209	209	K14849	9181	Protein families: metabolism	Cre07.g329050
210	210	K14849	9182	Protein families: genetic information processing	Cre01.g041300
211	211	K10046	9101	Carbohydrate metabolism	Cre01.g041450
212	212	K10046	520	Amino sugar and nucleotide sugar metabolism	Cre14.g615100
213	213	K10577	9122	Translation	Cre01.g042150
214	214	K10577	9123	Folding, sorting and degradation	Cre01.g042750
215	215	K10577	9132	Signal transduction	Cre01.g042800
216	216	K10577	9161	Cancers: Overview	Cre13.g571450
217	217	K10577	9182	Protein families: genetic information processing	Cre01.g042900
218	218	K10577	4121	Ubiquitin system	Cre05.g238500
219	219	K08956	9181	Protein families: metabolism	Cre01.g043350
220	220	K08956	9182	Protein families: genetic information processing	Cre01.g043750
221	221	K09510	9182	Protein families: genetic information processing	Cre01.g044000
222	222	K01679	9101	Carbohydrate metabolism	Cre01.g044050
223	223	K01679	620	Pyruvate metabolism	Cre06.g307150
224	224	K01679	9102	Energy metabolism	Cre01.g044150
225	225	K01679	9161	Cancers: Overview	Cre17.g742450
226	226	K01679	9162	Cancers: Specific types	Cre01.g044850
227	227	K01679	9167	Endocrine and metabolic diseases	Cre01.g045200
228	228	K08334	9132	Signal transduction	Cre16.g663800
229	229	K08334	9141	Transport and catabolism	Cre08.g383400
230	230	K08334	4138	Autophagy - yeast	Cre01.g045903
231	231	K08334	4136	Autophagy - other	Cre09.g408851
232	232	K08334	4137	Mitophagy - animal	Cre13.g606050
233	233	K08334	9143	Cell growth and death	Cre01.g046850
234	234	K08334	9172	Infectious diseases: Viral	Cre01.g047450
235	235	K08334	9182	Protein families: genetic information processing	Cre01.g047550
236	236	K08334	3029	Mitochondrial biogenesis	Cre01.g047650
237	237	K00237	9101	Carbohydrate metabolism	Cre06.g262300
238	238	K00237	9102	Energy metabolism	Cre01.g047750
239	239	K00237	9159	Environmental adaptation	Cre06.g260600
240	240	K00237	9164	Neurodegenerative diseases	Cre01.g047950
241	241	K00237	5012	Parkinson disease	Cre01.g049132
242	242	K00237	5016	Huntington disease	Cre12.g492851
243	243	K00237	9167	Endocrine and metabolic diseases	Cre01.g048400
244	244	K00236	9101	Carbohydrate metabolism	Cre01.g048950
245	245	K00236	9102	Energy metabolism	Cre01.g049132
246	246	K00236	9159	Environmental adaptation	Cre01.g049500
247	247	K00236	9164	Neurodegenerative diseases	Cre01.g049600
248	248	K00236	5012	Parkinson disease	Cre01.g050050
249	249	K00236	5016	Huntington disease	Cre01.g050100
250	250	K00236	9167	Endocrine and metabolic diseases	Cre02.g146650
251	251	K13111	9182	Protein families: genetic information processing	Cre01.g050950
252	252	K06972	9181	Protein families: metabolism	Cre01.g051100
253	253	K06972	9181	Protein families: metabolism	Cre14.g625350
254	254	K14852	9182	Protein families: genetic information processing	Cre14.g618000
255	255	K17790	9182	Protein families: genetic information processing	Cre06.g309350
256	256	K17790	9183	Protein families: signaling and cellular processes	Cre01.g051900
257	257	K01755	9105	Amino acid metabolism	Cre01.g052050
258	258	K01755	220	Arginine biosynthesis	Cre01.g052100
259	259	K01755	9183	Protein families: signaling and cellular processes	Cre16.g656600
260	260	K15377	9161	Cancers: Overview	Cre01.g052300
261	261	K15377	9183	Protein families: signaling and cellular processes	Cre01.g052350
262	262	K15377	4147	Exosome	Cre12.g557050
263	263	K12823	9121	Transcription	Cre03.g185500
264	264	K12823	9161	Cancers: Overview	Cre17.g723300
265	265	K12823	5205	Proteoglycans in cancer	Cre17.g723300
266	266	K12823	9182	Protein families: genetic information processing	Cre12.g511150
267	267	K12823	3009	Ribosome biogenesis	Cre12.g511150
268	268	K10408	9164	Neurodegenerative diseases	Cre01.g053288
269	269	K10408	9183	Protein families: signaling and cellular processes	Cre01.g053300
270	270	K02906	9122	Translation	Cre01.g053360
271	271	K02906	9182	Protein families: genetic information processing	Cre01.g053500
272	272	K14805	9182	Protein families: genetic information processing	Cre06.g300800
273	273	K00029	9101	Carbohydrate metabolism	Cre02.g085050
274	274	K00029	9102	Energy metabolism	Cre01.g053900
275	275	K01431	9104	Nucleotide metabolism	Cre08.g368400
276	276	K01431	9106	Metabolism of other amino acids	Cre01.g054500
277	277	K01431	9108	Metabolism of cofactors and vitamins	Cre01.g055050
278	278	K01431	9111	Xenobiotics biodegradation and metabolism	Cre07.g353450
279	279	K02209	9124	Replication and repair	Cre01.g055416
280	280	K02209	9143	Cell growth and death	Cre01.g055420
281	281	K02209	4111	Cell cycle - yeast	Cre01.g055432
282	282	K02209	4113	Meiosis - yeast	Cre01.g055453
283	283	K02209	9182	Protein families: genetic information processing	Cre01.g055550
284	284	K02209	3036	Chromosome and associated proteins	Cre03.g164050
285	285	K14617	9154	Digestive system	Cre01.g056331
286	286	K11866	9141	Transport and catabolism	Cre01.g058521
287	287	K11866	9181	Protein families: metabolism	Cre01.g058886
288	288	K11866	9182	Protein families: genetic information processing	Cre01.g061442
289	289	K11866	4121	Ubiquitin system	Cre17.g714550
290	290	K16484	9182	Protein families: genetic information processing	Cre07.g325711
291	291	K18065	9181	Protein families: metabolism	Cre01.g062902
292	292	K16056	9132	Signal transduction	Cre01.g063267
293	293	K16056	4024	cAMP signaling pathway	Cre01.g063632
294	294	K16056	9151	Immune system	Cre12.g530400
295	295	K16056	9152	Endocrine system	Cre16.g656600
296	296	K16056	4925	Aldosterone synthesis and secretion	Cre12.g548950
297	297	K16056	4927	Cortisol synthesis and secretion	Cre01.g068377
298	298	K16056	9163	Immune diseases	Cre01.g069107
299	299	K16056	9167	Endocrine and metabolic diseases	Cre03.g169850
300	300	K16056	9183	Protein families: signaling and cellular processes	Cre07.g353450
301	301	K00861	9108	Metabolism of cofactors and vitamins	Cre02.g073200
302	302	K10869	9124	Replication and repair	Cre02.g073400
303	303	K10869	9182	Protein families: genetic information processing	Cre09.g416350
304	304	K17570	9181	Protein families: metabolism	Cre02.g073650
305	305	K00469	9101	Carbohydrate metabolism	Cre10.g427750
306	306	K00469	562	Inositol phosphate metabolism	Cre08.g365851
307	307	K03537	9122	Translation	Cre08.g365851
308	308	K03537	3008	Ribosome biogenesis in eukaryotes	Cre19.g750597
309	309	K03537	9182	Protein families: genetic information processing	Cre17.g735550
310	310	K03537	3016	Transfer RNA biogenesis	Cre02.g075150
311	311	K03537	3029	Mitochondrial biogenesis	Cre17.g747397
312	312	K07407	9101	Carbohydrate metabolism	Cre02.g075600
313	313	K07407	9103	Lipid metabolism	Cre02.g075650
314	314	K07407	600	Sphingolipid metabolism	Cre02.g075700
315	315	K07407	9107	Glycan biosynthesis and metabolism	Cre12.g499500
316	316	K12890	9121	Transcription	Cre02.g076200
317	317	K12890	9151	Immune system	Cre02.g076250
318	318	K12890	9172	Infectious diseases: Viral	Cre11.g467700
319	319	K12890	9182	Protein families: genetic information processing	Cre02.g076350
320	320	K09499	9182	Protein families: genetic information processing	Cre02.g076400
321	321	K09499	9183	Protein families: signaling and cellular processes	Cre02.g076600
322	322	K10580	9123	Folding, sorting and degradation	Cre02.g076750
323	323	K10580	9151	Immune system	Cre16.g663200
324	324	K10580	9182	Protein families: genetic information processing	Cre02.g077100
325	325	K10580	3400	DNA repair and recombination proteins	Cre02.g077300
326	326	K02868	9122	Translation	Cre02.g077350
327	327	K02868	9182	Protein families: genetic information processing	Cre02.g078100
328	328	K09648	9123	Folding, sorting and degradation	Cre02.g078150
329	329	K09648	9181	Protein families: metabolism	Cre10.g458450
330	330	K09648	9182	Protein families: genetic information processing	Cre17.g709550
331	331	K10576	9123	Folding, sorting and degradation	Cre02.g078750
332	332	K10576	9182	Protein families: genetic information processing	Cre02.g078858
333	333	K03671	9151	Immune system	Cre12.g533000
334	334	K03671	9166	Cardiovascular diseases	Cre17.g720050
335	335	K03671	9182	Protein families: genetic information processing	Cre09.g386912
336	336	K03327	9183	Protein families: signaling and cellular processes	Cre02.g079300
337	337	K02144	9102	Energy metabolism	Cre02.g079550
338	338	K02144	9132	Signal transduction	Cre09.g389430
339	339	K02144	9141	Transport and catabolism	Cre02.g079700
340	340	K02144	4142	Lysosome	Cre02.g079850
341	341	K02144	9156	Nervous system	Cre02.g080100
342	342	K02144	9163	Immune diseases	Cre02.g080200
343	343	K02144	9171	Infectious diseases: Bacterial	Cre02.g080350
344	344	K02144	5120	Epithelial cell signaling in Helicobacter pylori infection	Cre02.g080700
345	345	K02144	5152	Tuberculosis	Cre12.g514850
346	346	K02144	9172	Infectious diseases: Viral	Cre02.g080700
347	347	K17338	9193	Unclassified: signaling and cellular processes	Cre06.g267150
348	348	K12823	9121	Transcription	Cre02.g081300
349	349	K12823	9161	Cancers: Overview	Cre10.g458050
350	350	K12823	5205	Proteoglycans in cancer	Cre02.g081500
351	351	K12823	9182	Protein families: genetic information processing	Cre02.g081550
352	352	K12823	3009	Ribosome biogenesis	Cre14.g626200
353	353	K01593	9105	Amino acid metabolism	Cre02.g082000
354	354	K01593	360	Phenylalanine metabolism	Cre02.g082050
355	355	K01593	380	Tryptophan metabolism	Cre02.g082250
356	356	K01593	9110	Biosynthesis of other secondary metabolites	Cre02.g082350
357	357	K01593	950	Isoquinoline alkaloid biosynthesis	Cre02.g082500
358	358	K01593	965	Betalain biosynthesis	Cre02.g082550
359	359	K01593	9156	Nervous system	Cre02.g082700
360	360	K01593	4726	Serotonergic synapse	Cre03.g189400
361	361	K01593	9165	Substance dependence	Cre16.g690319
362	362	K01593	5031	Amphetamine addiction	Cre16.g690319
363	363	K01593	5034	Alcoholism	Cre07.g342920
364	364	K01593	9183	Protein families: signaling and cellular processes	Cre02.g083354
365	365	K18342	9182	Protein families: genetic information processing	Cre13.g562150
366	366	K10733	9182	Protein families: genetic information processing	Cre02.g083800
367	367	K02365	9143	Cell growth and death	Cre02.g083950
368	368	K02365	4111	Cell cycle - yeast	Cre02.g084050
369	369	K02365	4113	Meiosis - yeast	Cre02.g084300
370	370	K02365	4114	Oocyte meiosis	Cre14.g626200
371	371	K02365	9172	Infectious diseases: Viral	Cre02.g084800
372	372	K02365	9181	Protein families: metabolism	Cre08.g377350
373	373	K02365	9182	Protein families: genetic information processing	Cre02.g085050
374	374	K01803	9101	Carbohydrate metabolism	Cre02.g092600
375	375	K01803	51	Fructose and mannose metabolism	Cre17.g717200
376	376	K01803	562	Inositol phosphate metabolism	Cre02.g109600
377	377	K01803	9102	Energy metabolism	Cre02.g086050
378	378	K01803	9183	Protein families: signaling and cellular processes	Cre05.g238500
379	379	K09272	9182	Protein families: genetic information processing	Cre02.g086650
380	380	K17991	9103	Lipid metabolism	Cre03.g193900
381	381	K18468	9141	Transport and catabolism	Cre02.g086887
382	382	K18468	9182	Protein families: genetic information processing	Cre02.g087551
383	383	K00939	9104	Nucleotide metabolism	Cre02.g087600
384	384	K00939	9108	Metabolism of cofactors and vitamins	Cre06.g285150
385	385	K00939	9183	Protein families: signaling and cellular processes	Cre12.g487100
386	386	K02914	9122	Translation	Cre02.g088000
387	387	K02914	9182	Protein families: genetic information processing	Cre02.g088050
388	388	K15422	9101	Carbohydrate metabolism	Cre02.g088200
389	389	K15422	9102	Energy metabolism	Cre14.g621650
390	390	K15422	9132	Signal transduction	Cre05.g241850
391	391	K11858	9181	Protein families: metabolism	Cre02.g088750
392	392	K11858	9182	Protein families: genetic information processing	Cre02.g088850
393	393	K01669	9182	Protein families: genetic information processing	Cre02.g088900
394	394	K12176	9182	Protein families: genetic information processing	Cre02.g089150
395	395	K02731	9123	Folding, sorting and degradation	Cre02.g089608
396	396	K02731	9181	Protein families: metabolism	Cre02.g089850
397	397	K02731	9182	Protein families: genetic information processing	Cre02.g089950
398	398	K02731	3051	Proteasome	Cre10.g446700
399	399	K14760	9108	Metabolism of cofactors and vitamins	Cre02.g090150
400	400	K15901	9182	Protein families: genetic information processing	Cre02.g095071
401	401	K15172	9182	Protein families: genetic information processing	Cre02.g090350
402	402	K15172	3019	Messenger RNA biogenesis	Cre02.g090500
403	403	K03104	9123	Folding, sorting and degradation	Cre02.g090650
404	404	K03104	9183	Protein families: signaling and cellular processes	Cre12.g533351
405	405	K11883	9122	Translation	Cre02.g091050
406	406	K11883	9182	Protein families: genetic information processing	Cre02.g091100
407	407	K11883	3051	Proteasome	Cre09.g392503
408	408	K08869	9181	Protein families: metabolism	Cre02.g091200
409	409	K15275	9183	Protein families: signaling and cellular processes	Cre02.g091850
410	410	K10570	9123	Folding, sorting and degradation	Cre02.g092050
411	411	K10570	9124	Replication and repair	Cre02.g092284
412	412	K10570	9182	Protein families: genetic information processing	Cre02.g092350
413	413	K10570	3400	DNA repair and recombination proteins	Cre09.g396139
414	414	K10134	9143	Cell growth and death	Cre02.g092600
415	415	K06816	9133	Signaling molecules and interaction	Cre02.g092750
416	416	K09523	9123	Folding, sorting and degradation	Cre02.g092850
417	417	K09523	9172	Infectious diseases: Viral	Cre02.g092900
418	418	K09523	9182	Protein families: genetic information processing	Cre02.g093300
419	419	K11267	9182	Protein families: genetic information processing	Cre05.g234550
420	420	K06927	9182	Protein families: genetic information processing	Cre02.g093700
421	421	K17777	9182	Protein families: genetic information processing	Cre16.g647534
422	422	K17777	9183	Protein families: signaling and cellular processes	Cre02.g093950
423	423	K09584	9123	Folding, sorting and degradation	Cre16.g695450
424	424	K09584	9182	Protein families: genetic information processing	Cre02.g094050
425	425	K09584	4131	Membrane trafficking	Cre16.g647534
426	426	K18417	9182	Protein families: genetic information processing	Cre02.g094150
427	427	K18417	3036	Chromosome and associated proteins	Cre07.g353300
428	428	K14293	9122	Translation	Cre02.g094300
429	429	K14293	9182	Protein families: genetic information processing	Cre02.g094500
430	430	K14293	3036	Chromosome and associated proteins	Cre10.g422300
431	431	K01408	9164	Neurodegenerative diseases	Cre02.g095070
432	432	K01408	9181	Protein families: metabolism	Cre02.g095071
433	433	K01057	9101	Carbohydrate metabolism	Cre12.g521950
434	434	K14012	9123	Folding, sorting and degradation	Cre13.g568950
435	435	K03352	9123	Folding, sorting and degradation	Cre02.g095092
436	436	K03352	9143	Cell growth and death	Cre02.g095093
437	437	K03352	4111	Cell cycle - yeast	Cre02.g095104
438	438	K03352	4113	Meiosis - yeast	Cre03.g162601
439	439	K03352	4114	Oocyte meiosis	Cre02.g095110
440	440	K03352	9151	Immune system	Cre03.g181500
441	441	K03352	9152	Endocrine system	Cre02.g095147
442	442	K03352	9172	Infectious diseases: Viral	Cre17.g723300
443	443	K03352	9182	Protein families: genetic information processing	Cre02.g095400
444	444	K03352	3036	Chromosome and associated proteins	Cre17.g703176
445	445	K06184	9182	Protein families: genetic information processing	Cre02.g096200
446	446	K14791	9182	Protein families: genetic information processing	Cre02.g096350
447	447	K12251	9105	Amino acid metabolism	Cre02.g096400
448	448	K07512	9103	Lipid metabolism	Cre02.g097000
449	449	K06890	9194	Poorly characterized	Cre02.g097250
450	450	K00914	9101	Carbohydrate metabolism	Cre02.g097400
451	451	K00914	9132	Signal transduction	Cre02.g097450
